AmagervÊrket Blok 3,DK-East,2,0,1,CKV_EX
AmagervÊrket Blok 4,DK-East,2,150,1,CKV_BP
AsnÊsvÊrket Blok 2,DK-East,2,0,1,CKV_EX
AsnÊsvÊrket Blok 2.1,DK-East,2,0,1,CKV_BP
AsnÊsvÊrket Blok 4,DK-East,2,0,1,CKV_EX
AsnÊsvÊrket Blok 5,DK-East,2,0,1,CKV_EX
AsnÊsvÊrket Blok 6,DK-East,2,25,1,CKV_BP
Aved¯revÊrket Blok 1,DK-East,2,0,1,CKV_EX
Aved¯revÊrket Blok 2,DK-East,2,560,1,CKV_EX
H.C. ùrstedsvÊrket Sektion 2 (Blok 1-4),DK-East,2,0,1,CKV_BP
H.C. ùrstedsvÊrket Blok 7,DK-East,2,0,1,CKV_BP
H.C. ùrstedsvÊrket Blok 8,DK-East,2,0,1,CKV_GT
KyndbyvÊrket Blok 21,DK-East,2,2,1,CKV_EX
StigsnÊsvÊrket Blok 1,DK-East,2,0,1,CKV_EX
StigsnÊsvÊrket Blok 2,DK-East,2,0,1,CKV_EX
Svanem¯llevÊrket Blok 1-3,DK-East,2,0,1,CKV_BP
Svanem¯llevÊrket Blok 7,DK-East,2,0,1,CKV_BP
ùstkraft Blok 6,Bornholm,3,37,1,CKV_EX
KyndbyvÊrket Blok 22,DK-East,2,260,1,KYV22
KyndbyvÊrket Blok 41,DK-East,2,18,1,CKV_GT
KyndbyvÊrket Blok 51,DK-East,2,63,1,CKV_GT
KyndbyvÊrket Blok 52,DK-East,2,63,1,CKV_GT
Masned¯vÊrket Blok 31,DK-East,2,70,1,CKV_GT
ùstkraft DieselvÊrk,Bornholm,3,19.6,4,CKV_DI
ùstkraft Blok 5,Bornholm,3,27.5,1,KYV22
ùstkraft Blok 7,Bornholm,3,15,3,CKV_DI
Helsing¯r_KV ,DK-East,2,55,1,DKV_CC
Helsing¯r_KV_GT ,DK-East,2,0,1,DKV_CC
Helsing¯r_KV_2 ,DK-East,2,0,1,DKV_CC
NordforbrÊnding_KV ,DK-East,2,5.6,1,CKV_affald
ForbrÊndingsmotor_Naturgas_Helsing¯r ,DK-East,2,0,1,DKV_GM
Hiller¯d_KV ,DK-East,2,0,1,DKV_CC
Hiller¯d_KV_ORC ,DK-East,2,5.12,1,DKV_bio
Flisforgasser_Gasmotor_Hiller¯d ,DK-East,2,3.94,1,DKV_GM
DTU_KV ,DK-East,2,38.5,1,DKV_CC
Koge_KV_Blok7 ,DK-East,2,0,1,DKV_bio
Koge_KV_Blok8 ,DK-East,2,15,1,DKV_bio
ARC_KV_AmagerBakke ,DK-East,2,43.4,1,CKV_affald
KARA-ForbrÊnding_KV_AnlÊg5 ,DK-East,2,9.59,1,CKV_affald
KARA-ForbrÊnding_KV_AnlÊg6 ,DK-East,2,13.58,1,CKV_affald
VestforbrÊnding_KV_AnlÊg5 ,DK-East,2,11.9,1,CKV_affald
VestforbrÊnding_KV_AnlÊg6 ,DK-East,2,15.4,1,CKV_affald
ForbrÊndingsmotor_Biogas_KBH ,DK-East,2,0,1,DKV_GM
Slagelse-ForbrÊnding_KV ,DK-East,2,7.63,1,DKV_affald
Masned¯KV ,DK-East,2,9.98,1,DKV_bio
MariboSaksk¯bing_KV ,DK-East,2,11.5,1,DKV_bio
Haslev_KV ,DK-East,2,0,1,DKV_bio
N¯dstr¯msanlÊg_DK-East ,DK-East,2,3.6,1,DKV_GM
Nyk¯bingFalster-ForbrÊnding_KV ,DK-East,2,4.69,1,DKV_affald
NÊstved-ForbrÊnding_KV ,DK-East,2,9.023,1,DKV_affald
Motorer - restomrÜder - DK2 ,DK-East,2,110.9997778,22,DKV_GM
ùvrig decentral regulerkraft-ùst ,DK-East,2,36,7,Regulerkraft
Overskudsel_DK-East ,DK-East,2,40.165,1,ICHP
I/S Norfors ,DK-East,2,5.18,1,CKV_affald
Havvind DKù,DK-East,2,2004.8,1,Wind
Kystvind DKù,DK-East,2,500,1,Wind
Landvind DKù,DK-East,2,693.285,1,Wind
Solceller DKù,DK-East,2,4598.55,1,Solar
VindBornholm,Bornholm,3,37,1,Wind
PVBornholm,Bornholm,3,46.45,1,Solar
HavvindKF,KriegersFlak,4,600,1,Wind
Energi¯ùst,Bornholm,3,0,1,Wind
DivKapDK2,DK-West,2,0,1,StratRes
FlatDemandDK2,DK-West,1,-233.5900374,1,Demand
ReservesDK-East,DK-East,2,-86,1,RS
Nuclear_NOm,NOm,6,0,1,Nuclear
Lignite_NOm,NOm,6,0,1,KulUdland
Coal_NOm,NOm,6,0,1,KulUdland
Gas_NOm,NOm,6,0,1,GasUdland
Oil_NOm,NOm,6,0,1,OlieUdland
HydroRun_NOm,NOm,6,0,1,ROR
HydroTurbine_NOm,NOm,6,0,1,HydroRes
HydroPump_NOm,NOm,6,5381,108,HydroRes
WindLand_NOm,NOm,6,1788,1,Wind
WindSea_NOm,NOm,6,0,1,Wind
PV_NOm,NOm,6,0,1,Solar
SolarTh_NOm,NOm,6,0,1,Solar
OtherRES_NOm,NOm,6,0,1,OtherRes_NO
OtherNonRES_NOm,NOm,6,20,1,OtherNonRes_NO
Biofuels_NOm,NOm,6,0,1,Biofuels
Peat_NOm,NOm,6,0,1,Peat
DSR_NOm,NOm,6,1424,142,DSR
Battery_NOm,NOm,6,0,1,Battery
ReservesNOm,NOm,6,-150,1,RS
Nuclear_NOn,NOn,7,0,1,Nuclear
Lignite_NOn,NOn,7,0,1,KulUdland
Coal_NOn,NOn,7,0,1,KulUdland
Gas_NOn,NOn,7,0,1,GasUdland
Oil_NOn,NOn,7,0,1,OlieUdland
HydroRun_NOn,NOn,7,0,1,ROR
HydroTurbine_NOn,NOn,7,0,1,HydroRes
HydroPump_NOn,NOn,7,5900,118,HydroRes
WindLand_NOn,NOn,7,2000,1,Wind
WindSea_NOn,NOn,7,0,1,Wind
PV_NOn,NOn,7,0,1,Solar
SolarTh_NOn,NOn,7,0,1,Solar
OtherRES_NOn,NOn,7,40,1,OtherRes_NOn
OtherNonRES_NOn,NOn,7,195,4,OtherNonRes_NO
Biofuels_NOn,NOn,7,0,1,Biofuels
Peat_NOn,NOn,7,0,1,Peat
DSR_NOn,NOn,7,1296,130,DSR
Battery_NOn,NOn,7,0,1,Battery
ReservesNOn,NOn,7,-150,1,RS
Nuclear_NOs,NOs,8,0,1,Nuclear
Lignite_NOs,NOs,8,0,1,KulUdland
Coal_NOs,NOs,8,0,1,KulUdland
Gas_NOs,NOs,8,0,1,GasUdland
Oil_NOs,NOs,8,0,1,OlieUdland
HydroRun_NOs,NOs,8,0,1,ROR
HydroTurbine_NOs,NOs,8,0,1,HydroRes
HydroPump_NOs,NOs,8,24780,496,HydroRes
WindLand_NOs,NOs,8,4324,1,Wind
WindSea_NOs,NOs,8,0,1,Wind
PV_NOs,NOs,8,1000,1,Solar
SolarTh_NOs,NOs,8,0,1,Solar
OtherRES_NOs,NOs,8,36,1,OtherRes_NO
OtherNonRES_NOs,NOs,8,50,1,OtherNonRes_NO
Biofuels_NOs,NOs,8,0,1,Biofuels
Peat_NOs,NOs,8,0,1,Peat
DSR_NOs,NOs,8,3584,358,DSR
Battery_NOs,NOs,8,0,1,Battery
ReservesNOs,NOs,8,-600,1,RS
Nuclear_SE1,SE1,9,0,1,NuclearSweden
Lignite_SE1,SE1,9,0,1,KulUdland
Coal_SE1,SE1,9,0,1,KulUdland
Gas_SE1,SE1,9,0,1,GasUdland
Oil_SE1,SE1,9,0,1,OlieUdland
HydroRun_SE1,SE1,9,0,1,ROR
HydroTurbine_SE1,SE1,9,5315,106,HydroRes
HydroPump_SE1,SE1,9,0,1,HydroPumpOL
WindLand_SE1,SE1,9,5466,1,Wind
WindSea_SE1,SE1,9,0,1,Wind
PV_SE1,SE1,9,20,1,Solar
SolarTh_SE1,SE1,9,0,1,Solar
OtherRES_SE1,SE1,9,276,1,MustRun
OtherNonRES_SE1,SE1,9,0,1,OtherNONRE
Biofuels_SE1,SE1,9,0,1,Biofuels
Peat_SE1,SE1,9,0,1,Peat
DSR_SE1,SE1,9,0,1,DSR
Battery_SE1,SE1,9,340,34,Battery
ReservesSE1,SE1,9,-410,1,RS
Nuclear_SE2,SE2,10,0,1,NuclearSweden
Lignite_SE2,SE2,10,0,1,KulUdland
Coal_SE2,SE2,10,0,1,KulUdland
Gas_SE2,SE2,10,53,1,GasUdland
Oil_SE2,SE2,10,0,1,OlieUdland
HydroRun_SE2,SE2,10,0,1,ROR
HydroTurbine_SE2,SE2,10,8055,161,HydroRes
HydroPump_SE2,SE2,10,0,1,HydroPumpOL
WindLand_SE2,SE2,10,7956,1,Wind
WindSea_SE2,SE2,10,0,1,Wind
PV_SE2,SE2,10,340,1,Solar
SolarTh_SE2,SE2,10,0,1,Solar
OtherRES_SE2,SE2,10,575,1,MustRun
OtherNonRES_SE2,SE2,10,0,1,OtherNONRE
Biofuels_SE2,SE2,10,0,1,Biofuels
Peat_SE2,SE2,10,0,1,Peat
DSR_SE2,SE2,10,0,1,DSR
Battery_SE2,SE2,10,591,59,Battery
ReservesSE2,SE2,10,-1040,1,RS
Nuclear_SE3,SE3,11,0,1,NuclearSweden
Lignite_SE3,SE3,11,0,1,KulUdland
Coal_SE3,SE3,11,0,1,KulUdland
Gas_SE3,SE3,11,324,3,GasUdland
Oil_SE3,SE3,11,0,1,OlieUdland
HydroRun_SE3,SE3,11,0,1,ROR
HydroTurbine_SE3,SE3,11,2911,58,HydroRes
HydroPump_SE3,SE3,11,0,1,HydroPumpOL
WindLand_SE3,SE3,11,5753,1,Wind
WindSea_SE3,SE3,11,1770,1,Wind
PV_SE3,SE3,11,5110,1,Solar
SolarTh_SE3,SE3,11,0,1,Solar
OtherRES_SE3,SE3,11,2633,1,MustRun
OtherNonRES_SE3,SE3,11,0,1,OtherNONRE
Biofuels_SE3,SE3,11,0,1,Biofuels
Peat_SE3,SE3,11,0,1,Peat
DSR_SE3,SE3,11,0,1,DSR
Battery_SE3,SE3,11,2812,281,Battery
ReservesSE3,SE3,11,-130,1,RS
Nuclear_SE4,SE4,12,0,1,NuclearSweden
Lignite_SE4,SE4,12,0,1,KulUdland
Coal_SE4,SE4,12,0,1,KulUdland
Gas_SE4,SE4,12,0,1,GasUdland
Oil_SE4,SE4,12,0,1,OlieUdland
HydroRun_SE4,SE4,12,0,1,ROR
HydroTurbine_SE4,SE4,12,349,7,HydroRes
HydroPump_SE4,SE4,12,0,1,HydroPumpOL
WindLand_SE4,SE4,12,4091,1,Wind
WindSea_SE4,SE4,12,760,1,Wind
PV_SE4,SE4,12,1900,1,Solar
SolarTh_SE4,SE4,12,0,1,Solar
OtherRES_SE4,SE4,12,701,1,MustRun
OtherNonRES_SE4,SE4,12,0,1,OtherNONRE
Biofuels_SE4,SE4,12,0,1,Biofuels
Peat_SE4,SE4,12,0,1,Peat
DSR_SE4,SE4,12,0,1,DSR
Battery_SE4,SE4,12,756,76,Battery
ReservesSE4,SE4,12,-50,1,RS
Nuclear_Finland,Finland,13,3690,4,NuclearFinland
Lignite_Finland,Finland,13,0,1,KulUdland
Coal_Finland,Finland,13,737,2,KulUdland
Gas_Finland,Finland,13,605,6,GasUdland
Oil_Finland,Finland,13,0,1,OlieUdland
HydroRun_Finland,Finland,13,0,1,ROR
HydroTurbine_Finland,Finland,13,3200,64,HydroRes
