Svendborg_KV ,DK1,1,3.15,1,DKV_affald,0.05,0.057692308,48,-,0.7
Forbr‘ndingsmotor_Naturgas_Svendborg ,DK1,1,0,1,DKV_GM,0.05,0.073972603,48,-,0.7
L›gumkloster_KV ,DK1,1,0,1,DKV_GM,0.05,0.073972603,48,-,0.7
Gasturbine_Naturgas_NG_DK1 ,DK1,1,35.436,7,DKV_GT,0.05,0.073972603,48,-,0.7
Skive_KV ,DK1,1,0,1,DKV_GM,0.05,0.073972603,48,-,0.7
Biomasse_KV_BIO_DK1 ,DK1,1,0,1,DKV_bio,0.091666667,0.073972603,48,-,0.7
Gasturbine_Naturgas_BIO_DK1 ,DK1,1,0,1,DKV_GT,0.05,0.073972603,48,-,0.7
Aars_KV ,DK1,1,2.023,1,DKV_affald,0.05,0.057692308,48,-,0.7
Kombianl‘g_NG ,DK1,1,11.9,1,DKV_GM,0.05,0.073972603,48,-,0.7
Gasturbine_Esbjerg ,DK1,1,25,1,Regulerkraft,0.05,0.073972603,48,-,0
Forbr‘ndingsmotor_Anholt ,DK1,1,2.4,1,DKV_GM,0.05,0.073972603,48,-,0.7
N›dstr›msanl‘g ,DK1,1,0,1,Regulerkraft,0.05,0.073972603,48,-,0
I/S Reno Nord ,DK1,1,4.9,1,CKV_affald,0.05,0.057692308,48,-,0
Forbr‘ndingsmotor_stermoseBioenergi ,DK1,1,0,1,DKV_GM,0.05,0.073972603,48,-,0.7
Motorer - restomr†der - DK1 ,DK1,1,394.2840487,79,DKV_GM,0.05,0.073972603,48,-,0.7
I/S Reno Nord ,DK1,1,12.53,1,CKV_affald,0.05,0.057692308,48,-,0
vrig decentral regulerkraft-Vest ,DK1,1,8.386343156,2,Regulerkraft,0.05,0.073972603,48,-,0
Overskudsel_DK1 ,DK1,1,120.683,1,ICHP,0,0,0,ICHP,0
Havvind DKV,DK1,1,2787,1,Wind,0,0,0,WS_DK1,0
Kystvind DKV,DK1,1,200,1,Wind,0,0,0,WS_DK1,0
Energi›Vest,DKEI,5,0,1,Wind,0,0,0,WS_DK1,0
Landvind DKV,DK1,1,3345.35,1,Wind,0,0,0,WL_DK1,0
Solceller DKV,DK1,1,8060,1,Solar,0,0,0,PV_DK1,0
VandkraftDK,DK1,1,6.93,1,ROR,0,0,0,HY_DELU,0
DivKapDK1,DK1,1,0,1,StratRes,0.2,0,48,-,0
FlatDemandDK1,DK1,1,-1117.776919,1,Demand,0,0,0,-,0
ReservesDK1,DK1,1,-110,1,RS,0,0,0,-,0
Amagerv‘rket Blok 1,DK2,2,0,1,CKV_BP,0.091666667,0.073972603,48,-,0.7
Amagerv‘rket Blok 3,DK2,2,0,1,CKV_EX,0.091666667,0.073972603,48,-,0
Amagerv‘rket Blok 4,DK2,2,150,1,CKV_BP,0.091666667,0.073972603,48,-,0.7
Asn‘sv‘rket Blok 2,DK2,2,0,1,CKV_EX,0.091666667,0.073972603,48,-,0
Asn‘sv‘rket Blok 2.1,DK2,2,0,1,CKV_BP,0.091666667,0.073972603,48,-,0.7
Asn‘sv‘rket Blok 4,DK2,2,0,1,CKV_EX,0.091666667,0.073972603,48,-,0
Asn‘sv‘rket Blok 5,DK2,2,0,1,CKV_EX,0.091666667,0.073972603,48,-,0
Asn‘sv‘rket Blok 6,DK2,2,25,1,CKV_BP,0.091666667,0.073972603,48,-,0.7
Aved›rev‘rket Blok 1,DK2,2,0,1,CKV_EX,0.091666667,0.073972603,48,-,0
