NOmcap_MAF20_2025_MAF20_2030_T20_NT2040	2020	2021	2022	2023	2024	2025	2026	2027	2028																			
Nuclear	8114	6491.2	4868.4	3245.6	1622.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Kernekraft_DE	DELU	-	-			
Lignite	10871.9	11585.62	12299.34	13013.06	13726.78	14440.5	13339.24	12237.98	11136.72	10035.46	8934.2	8040.78	7147.36	6253.94	5360.52	4467.1	3573.68	2680.26	1786.84	893.42	0	KulUdland	DELU	-	-			
Hard_Coal	17193.80002	15983.00002	14772.20001	13561.40001	12350.6	11139.8	10520	9900.2	9280.4	8660.6	8040.8	7236.72	6432.64	5628.56	4824.48	4020.4	3216.32	2412.24	1608.16	804.08	0	KulUdland	DELU	-	-			
Gas	21757.75495	21637.95496	21518.15497	21398.35498	21278.55499	21158.755	21113.935	21069.115	21024.295	20979.475	20934.655	20958.7895	20982.924	21007.0585	21031.193	21055.3275	21079.462	21103.5965	21127.731	21151.8655	21176	GasUdland	DELU	-	-			
Oil	1163.590001	1142.750001	1121.910001	1101.07	1080.23	1059.39	1015.51	971.63	927.75	883.87	839.99	778.291	716.592	654.893	593.194	531.495	469.796	408.097	346.398	284.699	223	OlieUdland	DELU	-	-			
Hydro-Run	4076.142857	4083.100045	4090.057234	4097.014423	4103.971611	4110.9288	4111.3288	4111.7288	4112.1288	4112.5288	4112.9288	4109.83592	4106.74304	4103.65016	4100.55728	4097.4644	4094.37152	4091.27864	4088.18576	4085.09288	4082	ROR	DELU	-	HY_DELU			
Hydro-turbine	1297	1296.948	1296.896	1296.844	1296.792	1296.74	1296.74	1296.74	1296.74	1296.74	1296.74	1296.766	1296.792	1296.818	1296.844	1296.87	1296.896	1296.922	1296.948	1296.974	1297	HydroRes	DELU	-	HYlimit_DELU			
Hydro-pump	8185	8166.8	8148.6	8130.4	8112.2	8094	8280.4	8466.8	8653.2	8839.6	9026	9258.1	9490.2	9722.3	9954.4	10186.5	10418.6	10650.7	10882.8	11114.9	11347	HydroPumpCL	DELU	-	-			
Wind-on-shore	61031.54927	63005.43942	64979.32956	66953.21971	68927.10985	70901	73105.99728	75310.99456	77515.99185	79720.98913	81925.98641	82848.38777	83770.78913	84693.19049	85615.59185	86537.9932	87460.39456	88382.79592	89305.19728	90227.59864	91150	Wind	DELU	-	WL_DELU			
Wind-off-shore	8191.999942	8769.859954	9347.719965	9925.579977	10503.43999	11081.3	13083.7	15086.1	17088.5	19090.9	21093.3	22539.07	23984.84	25430.61	26876.38	28322.15	29767.92	31213.69	32659.46	34105.23	35551	Wind	DELU	-	WS_DELU			
Solar-PV	55400.07183	59044.04262	62688.01341	66331.9842	69975.95499	73619.92578	77277.51542	80935.10506	84592.6947	88250.28433	91907.87397	92599.48657	93291.09918	93982.71178	94674.32438	95365.93698	96057.54959	96749.16219	97440.77479	98132.3874	98824	Solar	DELU	-	PV_DELU			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	DELU	-	PV_DELU			
Other_RES	8497.039787	8393.89183	8290.743872	8187.595915	8084.447957	7981.3	7722.757143	7464.214286	7205.671429	6947.128571	6688.585714	6548.527143	6408.468571	6268.41	6128.351429	5988.292857	5848.234286	5708.175714	5568.117143	5428.058571	5288	OtherRes_DELU	DELU	-	-			
Othernon-RES	7428.672012	8537.85761	9647.043207	10756.2288	11865.4144	12974.6	13561.61489	14148.62977	14735.64466	15322.65954	15909.67443	16378.60699	16847.53954	17316.4721	17785.40466	18254.33722	18723.26977	19192.20233	19661.13489	20130.06744	20599	MustRun	DELU	-	OtherNonRes_DELU			
Biofuels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Biofuels	DELU	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	DELU	-	-			
DSR	0	273.2	546.4	819.6	1092.8	1366	1457.8	1549.6	1641.4	1733.2	1825	1824.9	1824.8	1824.7	1824.6	1824.5	1824.4	1824.3	1824.2	1824.1	1824	DSR	DELU	-	-			
Battery	0	100	200	300	400	500	1198	1896	2594	3292	3990	4430.4	4870.8	5311.2	5751.6	6192	6632.4	7072.8	7513.2	7953.6	8394	Battery	DELU	-	-			
ReservesDELU	-4950	-4950	-4950	-4950	-4950	-4950	-5035.8	-5121.6	-5207.4	-5293.2	-5379	-5379	-5379	-5379	-5379	-5379	-5379	-5379	-5379	-5379	-5379	RS	DELU	-	-			
																												
ATcap_MAF20_2025_MAF20_2030_T20_NT2040																												
ATcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Nuclear	AT	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	AT	-	-			
Hard_Coal	246	196.8	147.6	98.4	49.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	AT	-	-			
Gas	4327.699996	4145.299997	3962.899998	3780.499998	3598.099999	3415.7	3415.7	3415.7	3415.7	3415.7	3415.7	3236.43	3057.16	2877.89	2698.62	2519.35	2340.08	2160.81	1981.54	1802.27	1623	GasUdland	AT	-	-			
Oil	168.4060059	168.4060047	168.4060035	168.4060023	168.4060012	168.406	168.406	168.406	168.406	168.406	168.406	151.5654	134.7248	117.8842	101.0436	84.203	67.3624	50.5218	33.6812	16.8406	0	OlieUdland	AT	-	-			
Hydro-Run	5961.813477	5995.457711	6029.101946	6062.746181	6096.390415	6130.03465	6158.13465	6186.23465	6214.33465	6242.43465	6270.53465	6272.681185	6274.82772	6276.974255	6279.12079	6281.267325	6283.41386	6285.560395	6287.70693	6289.853465	6292	ROR	AT	-	HY_AT			
Hydro-turbine	2429.553955	2429.643164	2429.732373	2429.821582	2429.910791	2430	2429.96	2429.92	2429.88	2429.84	2429.8	2430.12	2430.44	2430.76	2431.08	2431.4	2431.72	2432.04	2432.36	2432.68	2433	HydroRes	AT	-	-			
Hydro-pump	3459.280029	3604.824023	3750.368018	3895.912012	4041.456006	4187	4479.2	4771.4	5063.6	5355.8	5648	5746.9	5845.8	5944.7	6043.6	6142.5	6241.4	6340.3	6439.2	6538.1	6637	HydroPumpCL	AT	-	-			
Wind-on-shore	3700.000077	4060.000062	4420.000047	4780.000032	5140.000017	5500.000002	6199.800002	6899.600001	7599.400001	8299.2	8999	9399.1	9799.2	10199.3	10599.4	10999.5	11399.6	11799.7	12199.8	12599.9	13000	Wind	AT	-	WL_AT			
Wind-off-shore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Wind	AT	-	WS_AT			
Solar-PV	2501.185715	3000.948572	3500.711429	4000.474286	4500.237143	5000	6400	7800	9200	10600	12000	13000	14000	15000	16000	17000	18000	19000	20000	21000	22000	Solar	AT	-	PV_AT			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	AT	-	PV_AT			
Other_RES	611.3079224	609.2293379	607.1507534	605.0721689	602.9935845	600.915	600.915	600.915	600.915	600.915	600.915	600.7235	600.532	600.3405	600.149	599.9575	599.766	599.5745	599.383	599.1915	599	OtherRes_AT	AT	-	-			
Othernon-RES	955.4400024	955.000002	954.5600015	954.120001	953.6800005	953.24	953.24	953.24	953.24	953.24	953.24	953.216	953.192	953.168	953.144	953.12	953.096	953.072	953.048	953.024	953	OtherNonRes_AT	AT	-	-			
Biofuels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Biofuels	AT	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	AT	-	-			
DSR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DSR	AT	-	-			
Battery	0	0	0	0	0	0	493.8068848	987.6137696	1481.420654	1975.227539	2469.034424	2469.030982	2469.027539	2469.024097	2469.020654	2469.017212	2469.01377	2469.010327	2469.006885	2469.003442	2469	Battery	AT	-	-			
ReservesAT	-544	-544.0634772	-544.1269545	-544.1904317	-544.253909	-544.3173862	-544.3173862	-544.3173862	-544.3173862	-544.3173862	-544.3173862	-544.3173862	-544.3173862	-544.3173862	-544.3173862	-544.3173862	-544.3173862	-544.3173862	-544.3173862	-544.3173862	-544.3173862	RS	AT	-	-			
																												
NLcap_MAF20_2025_MAF20_2030_T20_NT2040																												
NLcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	486	486	486	486	486	486	486	486	486	486	486	437.4	388.8	340.2	291.6	243	194.4	145.8	97.2	48.6	0	Borssele	NL	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	NL	-	-			
Hard_Coal	2794.990021	2770.190017	2745.390012	2720.590008	2695.790004	2670.99	2136.792	1602.594	1068.396	534.198	0	338.1	676.2	1014.3	1352.4	1690.5	2028.6	2366.7	2704.8	3042.9	3381	KulUdland	NL	-	-			
Gas	12437.8	12532.9	12628	12723.1	12818.2	12913.3	12557.3	12201.3	11845.3	11489.3	11133.3	10949.27	10765.24	10581.21	10397.18	10213.15	10029.12	9845.09	9661.06	9477.03	9293	GasUdland	NL	-	-			
Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OlieUdland	NL	-	-			
Hydro-Run	40.1428566	40.71428528	41.28571396	41.85714264	42.42857132	43	43	43	43	43	43	43.3	43.6	43.9	44.2	44.5	44.8	45.1	45.4	45.7	46	ROR	NL	-	HY_NL			
Hydro-turbine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HydroRes	NL	-	-			
Hydro-pump	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HydroPumpCL	NL	-	-			
Wind-on-shore	4500	4741.8	4983.6	5225.4	5467.2	5709	6127.2	6545.4	6963.6	7381.8	7800	7958.2	8116.4	8274.6	8432.8	8591	8749.2	8907.4	9065.6	9223.8	9382	Wind	NL	-	WL_NL			
Wind-off-shore	2400.000095	2951.400076	3502.800057	4054.200038	4605.600019	5157	6377	7597	8817	10037	11257	11746.4	12235.8	12725.2	13214.6	13704	14193.4	14682.8	15172.2	15661.6	16151	Wind	NL	-	WS_NL			
Solar-PV	6900.000095	7700.000076	8500.000057	9300.000038	10100.00002	10900	13720	16540	19360	22180	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	Solar	NL	-	PV_NL			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	NL	-	PV_NL			
Other_RES	535	536	537	538	539	540	540	540	540	540	540	540	540	540	540	540	540	540	540	540	540	OtherRes_NL	NL	-	-			
Othernon-RES	4540	4502.87	4465.74	4428.61	4391.48	4354.35	4238.234	4122.118	4006.002	3889.886	3773.77	3773.393	3773.016	3772.639	3772.262	3771.885	3771.508	3771.131	3770.754	3770.377	3770	OtherNonRes_NL	NL	-	-			
Biofuels	1206.009979	1231.809983	1257.609988	1283.409992	1309.209996	1335.01	1744.208	2153.406	2562.604	2971.802	3381	3042.9	2704.8	2366.7	2028.6	1690.5	1352.4	1014.3	676.2	338.1	0	Biofuels	NL	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	NL	-	-			
DSR	0	140	280	420	560	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	DSR	NL	-	-			
Battery	0	0	0	0	0	0	0	0	0	0	0	347.5	695	1042.5	1390	1737.5	2085	2432.5	2780	3127.5	3475	Battery	NL	-	-			
ReservesNL	-800	-940	-1080	-1220	-1360	-1500	-1500	-1500	-1500	-1500	-1500	-1500	-1500	-1500	-1500	-1500	-1500	-1500	-1500	-1500	-1500	RS	NL	-	-			
																												
GBcap_MAF20_2025_MAF20_2030_T20_NT2040																												
GBcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	9229	8813	8397	7981	7565	7149	7575.4	8001.8	8428.2	8854.6	9281	9781.9	10282.8	10783.7	11284.6	11785.5	12286.4	12787.3	13288.2	13789.1	14290	NuclearGB	GB	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	GB	-	-			
Hard_Coal	0	0	0	0	0	0	0	0	0	0	0	398.4	796.8	1195.2	1593.6	1992	2390.4	2788.8	3187.2	3585.6	3984	KulUdland	GB	-	-			
Gas	31749.10004	31520.50003	31291.90002	31063.30001	30834.70001	30606.1	31859.3	33112.5	34365.7	35618.9	36872.1	36901.99	36931.88	36961.77	36991.66	37021.55	37051.44	37081.33	37111.22	37141.11	37171	GasUdland	GB	-	-			
Oil	422	411.8	401.6	391.4	381.2	371	371	371	371	371	371	371	371	371	371	371	371	371	371	371	371	OlieUdland	GB	-	-			
Hydro-Run	1910.229004	1915.801203	1921.373402	1926.945602	1932.517801	1938.09	1943.46	1948.83	1954.2	1959.57	1964.94	1965.346	1965.752	1966.158	1966.564	1966.97	1967.376	1967.782	1968.188	1968.594	1969	ROR	GB	-	HY_GB			
Hydro-turbine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HydroRes	GB	-	-			
Hydro-pump	2744	2744	2744	2744	2744	2744	2744	2744	2744	2744	2744	2870	2996	3122	3248	3374	3500	3626	3752	3878	4004	HydroPumpCL	GB	-	-			
Wind-on-shore	12823.08492	13000.20434	13177.32375	13354.44317	13531.56258	13708.682	14065.68848	14422.69497	14779.70145	15136.70793	15493.71442	15543.24298	15592.77153	15642.30009	15691.82865	15741.35721	15790.88577	15840.41433	15889.94288	15939.47144	15989	Wind	GB	-	WL_GB			
Wind-off-shore	10750.30011	12130.92009	13511.54007	14892.16004	16272.78002	17653.4	19087.92	20522.44	21956.96	23391.48	24826	25842.9	26859.8	27876.7	28893.6	29910.5	30927.4	31944.3	32961.2	33978.1	34995	Wind	GB	-	WS_GB			
Solar-PV	13907.81501	14072.69641	14237.57781	14402.4592	14567.3406	14732.222	15072.3836	15412.5452	15752.7068	16092.8684	16433.03	17378.727	18324.424	19270.121	20215.818	21161.515	22107.212	23052.909	23998.606	24944.303	25890	Solar	GB	-	PV_GB			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	GB	-	PV_GB			
Other_RES	4433.12207	4473.897856	4514.673642	4555.449428	4596.225214	4637.001	4649.683	4662.365	4675.047	4687.729	4700.411	4700.3699	4700.3288	4700.2877	4700.2466	4700.2055	4700.1644	4700.1233	4700.0822	4700.0411	4700	OtherRes_GB	GB	-	-			
Othernon-RES	0	1461.4388	2922.8776	4384.3164	5845.7552	7307.194	7332.286	7357.378	7382.47	7407.562	7432.654	7432.5886	7432.5232	7432.4578	7432.3924	7432.327	7432.2616	7432.1962	7432.1308	7432.0654	7432	OtherNonRes_GB	GB	-	-			
Biofuels	7737	6983.4	6229.8	5476.2	4722.6	3969	3972	3975	3978	3981	3984	3585.6	3187.2	2788.8	2390.4	1992	1593.6	1195.2	796.8	398.4	0	Biofuels	GB	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	GB	-	-			
DSR	0	280.4	560.8	841.2	1121.6	1402	1541.4	1680.8	1820.2	1959.6	2099	2071.4	2043.8	2016.2	1988.6	1961	1933.4	1905.8	1878.2	1850.6	1823	DSR	GB	-	-			
Battery	0	82	164	246	328	410	410	410	410	410	410	795	1180	1565	1950	2335	2720	3105	3490	3875	4260	Battery	GB	-	-			
ReservesGB	-959	-1449	-1939	-2429	-2919	-3409	-3409	-3409	-3409	-3409	-3409	-3409	-3409	-3409	-3409	-3409	-3409	-3409	-3409	-3409	-3409	RS	GB	-	-			
																												
FRcap_MAF20_2025_MAF20_2030_T20_NT2040																												
FRcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	60144	60467.4	60790.8	61114.2	61437.6	61761	61051.4	60341.8	59632.2	58922.6	58213	56704.6	55196.2	53687.8	52179.4	50671	49162.6	47654.2	46145.8	44637.4	43129	NuclearFR	FR	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	FR	-	-			
Hard_Coal	2840	2272	1704	1136	568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	FR	-	-			
Gas	6775	6857.8	6940.6	7023.4	7106.2	7189	7189	7189	7189	7189	7189	7164.5	7140	7115.5	7091	7066.5	7042	7017.5	6993	6968.5	6944	GasUdland	FR	-	-			
Oil	1331	1331	1331	1331	1331	1331	1259	1187	1115	1043	971	873.9	776.8	679.7	582.6	485.5	388.4	291.3	194.2	97.1	0	OlieUdland	FR	-	-			
Hydro-Run	13600	13600	13600	13600	13600	13600	13600	13600	13600	13600	13600	13600	13600	13600	13600	13600	13600	13600	13600	13600	13600	ROR	FR	-	HY_FR			
Hydro-turbine	8112.5	8130.014634	8147.529268	8165.043902	8182.558537	8200.073171	8200.131707	8200.190244	8200.24878	8200.307317	8200.365854	8200.329268	8200.292683	8200.256098	8200.219512	8200.182927	8200.146341	8200.109756	8200.073171	8200.036585	8200	HydroRes	FR	-	HYlimit_FR			
Hydro-pump	3500	3615.4	3730.8	3846.2	3961.6	4077	4138.6	4200.2	4261.8	4323.4	4385	4296.5	4208	4119.5	4031	3942.5	3854	3765.5	3677	3588.5	3500	HydroPumpCL	FR	-	-			
Wind-on-shore	19070.50025	20440.4002	21810.30015	23180.2001	24550.10005	25920	27740	29560	31380	33200	35020	37477.9	39935.8	42393.7	44851.6	47309.5	49767.4	52225.3	54683.2	57141.1	59599	Wind	FR	-	WL_FR			
Wind-off-shore	0	600	1200	1800	2400	3000	3500	4000	4500	5000	5500	5786.3	6072.6	6358.9	6645.2	6931.5	7217.8	7504.1	7790.4	8076.7	8363	Wind	FR	-	WS_FR			
Solar-PV	14057.00005	15865.60004	17674.20003	19482.80002	21291.40001	23100	26100	29100	32100	35100	38100	40082	42064	44046	46028	48010	49992	51974	53956	55938	57920	Solar	FR	-	PV_FR			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	FR	-	PV_FR			
Other_RES	2249	2240.2	2231.4	2222.6	2213.8	2205	2205	2205	2205	2205	2205	2239.4	2273.8	2308.2	2342.6	2377	2411.4	2445.8	2480.2	2514.6	2549	OtherRes_FR	FR	-	-			
Othernon-RES	2008.599976	3759.67998	5510.759985	7261.83999	9012.919995	10764	10751.2	10738.4	10725.6	10712.8	10700	10283.3	9866.6	9449.9	9033.2	8616.5	8199.8	7783.1	7366.4	6949.7	6533	MustRun	FR	-	OtherNonRes_FR			
Biofuels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Biofuels	FR	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	FR	-	-			
DSR	0	980	1960	2940	3920	4900	5300	5700	6100	6500	6900	6550	6200	5850	5500	5150	4800	4450	4100	3750	3400	DSR	FR	-	-			
Battery	0	0	0	0	0	0	0	0	0	0	0	590	1180	1770	2360	2950	3540	4130	4720	5310	5900	Battery	FR	-	-			
ReservesFR	0	-436	-872	-1308	-1744	-2180	-2180	-2180	-2180	-2180	-2180	-2180	-2180	-2180	-2180	-2180	-2180	-2180	-2180	-2180	-2180	RS	FR	-	-			
																												
BEcap_MAF20_2025_MAF20_2030_T20_NT2040																												
BEcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	5919	4735.2	3551.4	2367.6	1183.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NuclearBE	BE	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	BE	-	-			
Hard_Coal	0	0	0	0	0	0	0	0	0	0	0	54	108	162	216	270	324	378	432	486	540	KulUdland	BE	-	-			
Gas	5325.300013	5823.50001	6321.700008	6819.900005	7318.100003	7816.3	7936.3	8056.3	8176.3	8296.3	8416.3	8443.17	8470.04	8496.91	8523.78	8550.65	8577.52	8604.39	8631.26	8658.13	8685	GasUdland	BE	-	-			
Oil	140	143.66	147.32	150.98	154.64	158.3	158.3	158.3	158.3	158.3	158.3	158.27	158.24	158.21	158.18	158.15	158.12	158.09	158.06	158.03	158	OlieUdland	BE	-	-			
Hydro-Run	123	125.2524	127.5048	129.7572	132.0096	134.262	137.052	139.842	142.632	145.422	148.212	148.1908	148.1696	148.1484	148.1272	148.106	148.0848	148.0636	148.0424	148.0212	148	ROR	BE	-	HY_BE			
Hydro-turbine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HydroRes	BE	-	-			
Hydro-pump	1308	1325.4	1342.8	1360.2	1377.6	1395	1395	1395	1395	1395	1395	1395	1395	1395	1395	1395	1395	1395	1395	1395	1395	HydroPumpCL	BE	-	-			
Wind-on-shore	2775.000006	2908.302985	3041.605963	3174.908942	3308.21192	3441.514899	3640.600595	3839.686291	4038.771988	4237.857684	4436.94338	4534.149042	4631.354704	4728.560366	4825.766028	4922.97169	5020.177352	5117.383014	5214.588676	5311.794338	5409	Wind	BE	-	WL_BE			
Wind-off-shore	2270.999908	2267.399927	2263.799945	2260.199963	2256.599982	2253	2653	3053	3453	3853	4253	4434.9	4616.8	4798.7	4980.6	5162.5	5344.4	5526.3	5708.2	5890.1	6072	Wind	BE	-	WS_BE			
Solar-PV	5069.832921	5494.46875	5919.104578	6343.740407	6768.376235	7193.012064	7833.91431	8474.816555	9115.718801	9756.621046	10397.52329	10787.27096	11177.01863	11566.7663	11956.51398	12346.26165	12736.00932	13125.75699	13515.50466	13905.25233	14295	Solar	BE	-	PV_BE			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	BE	-	PV_BE			
Other_RES	524.0689697	510.1158076	496.1626455	482.2094835	468.2563214	454.3031593	438.0941964	421.8852336	405.6762708	389.4673079	373.2583451	356.5325106	339.8066761	323.0808416	306.3550071	289.6291725	272.903338	256.1775035	239.451669	222.7258345	206	MustRun	BE	-	-			
Othernon-RES	1244	1260	1276	1292	1308	1324	1324	1324	1324	1324	1324	1324	1324	1324	1324	1324	1324	1324	1324	1324	1324	OtherNonRes_BE	BE	-	-			
Biofuels	615.7859993	600.7859994	585.7859996	570.7859997	555.7859999	540.786	540.786	540.786	540.786	540.786	540.786	486.7074	432.6288	378.5502	324.4716	270.393	216.3144	162.2358	108.1572	54.0786	0	Biofuels	BE	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	BE	-	-			
DSR	0	196.4	392.8	589.2	785.6	982	1145.6	1309.2	1472.8	1636.4	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	1800	DSR	BE	-	-			
Battery	0	82	164	246	328	410	476	542	608	674	740	850.1	960.2	1070.3	1180.4	1290.5	1400.6	1510.7	1620.8	1730.9	1841	Battery	BE	-	-			
ReservesBL	-500	-505.8392	-511.6784	-517.5176	-523.3568	-529.196	-509.3205946	-489.4451892	-469.5697838	-449.6943784	-429.818973	-429.818973	-429.818973	-429.818973	-429.818973	-429.818973	-429.818973	-429.818973	-429.818973	-429.818973	-429.818973	RS	BE	-	-			
																												
ESPTcap_MAF20_2025_MAF20_2030_T20_NT2040																												
ESPTcap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	7126.950073	7125.032059	7123.114044	7121.196029	7119.278015	7117.36	6302.032	5486.704	4671.376	3856.048	3040.72	2736.648	2432.576	2128.504	1824.432	1520.36	1216.288	912.216	608.144	304.072	0	NuclearES	ESPT	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	ESPT	-	-			
Hard_Coal	6073.789978	5262.047982	4450.305987	3638.563991	2826.821996	2015.08	1612.064	1209.048	806.032	403.016	0	0	0	0	0	0	0	0	0	0	0	KulUdland	ESPT	-	-			
Gas	28327.56	28327.56	28327.56	28327.56	28327.56	28327.56	28129.56	27931.56	27733.56	27535.56	27337.56	27337.504	27337.448	27337.392	27337.336	27337.28	27337.224	27337.168	27337.112	27337.056	27337	GasUdland	ESPT	-	-			
Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OlieUdland	ESPT	-	-			
Hydro-Run	4378.333252	4372.204802	4366.076351	4359.947901	4353.81945	4347.691	4347.691	4347.691	4347.691	4347.691	4347.691	4376.6219	4405.5528	4434.4837	4463.4146	4492.3455	4521.2764	4550.2073	4579.1382	4608.0691	4637	ROR	ESPT	-	HY_ESPT			
Hydro-turbine	14575.5	14564.4838	14553.4676	14542.4514	14531.4352	14520.419	14520.419	14520.419	14520.419	14520.419	14520.419	14541.8771	14563.3352	14584.7933	14606.2514	14627.7095	14649.1676	14670.6257	14692.0838	14713.5419	14735	HydroRes	ESPT	-	HYlimit_ESPT			
Hydro-pump	9852	10436.4	11020.8	11605.2	12189.6	12774	13050	13326	13602	13878	14154	14129.3	14104.6	14079.9	14055.2	14030.5	14005.8	13981.1	13956.4	13931.7	13907	HydroPumpCL	ESPT	-	-			
Wind-on-shore	35116.19957	37316.11965	39516.03974	41715.95983	43915.87991	46115.8	48342.94	50570.08	52797.22	55024.36	57251.5	58169.85	59088.2	60006.55	60924.9	61843.25	62761.6	63679.95	64598.3	65516.65	66435	Wind	ESPT	-	WL_ESPT			
Wind-off-shore	26.00000054	46.00000043	66.00000032	86.00000021	106.0000001	126	192.8	259.6	326.4	393.2	460	466.8	473.6	480.4	487.2	494	500.8	507.6	514.4	521.2	528	Wind	ESPT	-	WS_ESPT			
Solar-PV	13382.79985	16148.48927	18914.17869	21679.86811	24445.55753	27211.24695	31218.52577	35225.80458	39233.0834	43240.36222	47247.64103	49720.97693	52194.31283	54667.64872	57140.98462	59614.32052	62087.65641	64560.99231	67034.32821	69507.6641	71981	Solar	ESPT	-	PV_ESPT			
Solar-thermal	2800.138883	3226.118541	3652.098198	4078.077855	4504.057513	4930.03717	5464.029736	5998.022302	6532.014868	7066.007434	7600	7634.2	7668.4	7702.6	7736.8	7771	7805.2	7839.4	7873.6	7907.8	7942	Solar	ESPT	-	CSP_ESPT			
Other_RES	2402	2345.94	2289.88	2233.82	2177.76	2121.7	2264.3	2406.9	2549.5	2692.1	2834.7	2894.93	2955.16	3015.39	3075.62	3135.85	3196.08	3256.31	3316.54	3376.77	3437	MustRun	ESPT	-	OtherRes_ESPT			
Othernon-RES	5730	5704.2	5678.4	5652.6	5626.8	5601	5432	5263	5094	4925	4756	4732.5	4709	4685.5	4662	4638.5	4615	4591.5	4568	4544.5	4521	MustRun	ESPT	-	OtherNonRes_ESPT			
Biofuels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Biofuels	ESPT	-	-			
