NOmcap_MAF20_2025_MAF20_2030_T20_NT2040	2020	2021	2022	2023	2024	2025	2026	2027	2028																			
NOscap_MAF20_2025_MAF20_2030_T20_NT2040																												
NOscap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Nuclear	NOs	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	NOs	-	-			
Hard_Coal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	NOs	-	-			
Gas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GasUdland	NOs	-	-			
Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OlieUdland	NOs	-	-			
Hydro-Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ROR	NOs	-	No_RoR			
Hydro-turbine	0	4800.08	9600.16	14400.24	19200.32	24000.4	24300.4	24600.4	24900.4	25200.4	25500.4	22950.36	20400.32	17850.28	15300.24	12750.2	10200.16	7650.12	5100.08	2550.04	0	HydroRes	NOs	-	-			
Hydro-pump	23880.40039	19104.32031	14328.24023	9552.160156	4776.080078	0	0	0	0	0	0	2478	4956	7434	9912	12390	14868	17346	19824	22302	24780	HydroRes	NOs	-	-			
Wind-on-shore	1177.499965	1260.291972	1343.083979	1425.875986	1508.667993	1591.46	1891.46	2191.46	2491.46	2791.46	3091.46	3214.714	3337.968	3461.222	3584.476	3707.73	3830.984	3954.238	4077.492	4200.746	4324	Wind	NOs	-	WL_NOs			
Wind-off-shore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Wind	NOs	-	WS_NOs			
Solar-PV	0	0	0	0	0	0	300	600	900	1200	1500	1450	1400	1350	1300	1250	1200	1150	1100	1050	1000	Solar	NOs	-	PV_NOs			
Solar-thermal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Solar	NOs	-	PV_NOs			
Other_RES	36.29999924	36.29999939	36.29999954	36.29999969	36.29999985	36.3	36.3	36.3	36.3	36.3	36.3	36.27	36.24	36.21	36.18	36.15	36.12	36.09	36.06	36.03	36	OtherRes_NO	NOs	-	-			
Othernon-RES	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	OtherNonRes_NO	NOs	-	-			
Biofuels	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Biofuels	NOs	-	-			
Peat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Peat	NOs	-	-			
DSR	0	716.8	1433.6	2150.4	2867.2	3584	2867.2	2150.4	1433.6	716.8	0	358.4	716.8	1075.2	1433.6	1792	2150.4	2508.8	2867.2	3225.6	3584	DSR	NOs	-	-			
Battery	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Battery	NOs	-	-			
Reserves_Nos	-600	-600	-600	-600	-600	-600	-600	-600	-600	-600	-600	-600	-600	-600	-600	-600	-600	-600	-600	-600	-600	RS	NOs	-	-			
																												
SE1cap_MAF20_2025_MAF20_2030_T20_NT2040																												
SE1cap	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	PlantType	Node	Nounits	Variation			
Nuclear	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NuclearSweden	SE1	-	-			
Lignite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	SE1	-	-			
Hard_Coal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	KulUdland	SE1	-	-			
Gas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GasUdland	SE1	-	-			
Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	OlieUdland	SE1	-	-			
Hydro-Run	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ROR	SE1	-	No_RoR			
Hydro-turbine	5315	5340.8	5366.6	5392.4	5418.2	5444	5444	5444	5444	5444	5444	5431.1	5418.2	5405.3	5392.4	5379.5	5366.6	5353.7	5340.8	5327.9	5315	HydroRes	SE1	-	-			
Hydro-pump	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HydroPumpOL	SE1	-	-			
