Klimar	DK1	DK2	DKBO	DKKF	DKEI	NOm	NOn	NOs	SE1	SE2	SE3	SE4	FI	DELU	AT	NL	GB	FR	BE	ESPT	CH	IT	EELVLT	PL	CZSK	HU
1999	0.997264754	0.993192235	0.993192235	1	1	0.997338303	0.996789177	0.991154209	1.002273327	0.998748151	0.993125397	0.993978396	0.997901707	0.994550931	0.998879589	0.995337628	0.990746485	0.992039063	0.993528192	1.004235899	1.001714597	1.005136472	0.994968185	0.998344843	0.997487955	0.994068538
2000	0.995568184	0.978110421	0.978110421	1	1	0.989690826	0.994947113	0.969682994	0.990176292	0.981381038	0.976824055	0.97383978	0.980878719	0.991019322	0.99002626	0.994016401	0.994758375	0.977846216	0.992636923	0.996278439	0.989673863	0.993672376	0.981546379	0.989420234	0.988634658	0.99712984
2001	1.000277094	1.000937133	1.000937133	1	1	1.002537791	0.99725326	1.006662697	0.999740599	1.00383696	1.002333573	1.004469989	1.002584196	0.999642338	0.999973169	0.999243628	1.004578266	0.997187685	0.998796661	1.000458204	0.995913411	0.995834216	1.000181767	1.00149706	1.001294446	0.995213425
2002	0.998521204	0.993338135	0.993338135	1	1	0.993894451	0.995905468	0.999808075	1.00128933	1.000419327	0.997565335	0.99580421	1.003886378	0.992797718	0.994758746	0.995269676	0.988596578	0.970727383	0.992755776	0.986930793	0.9908412	0.989540997	1.001787797	1.002268653	0.997247085	0.999455382
2003	0.998448601	1.000942987	1.000942987	1	1	0.991646194	0.995359987	0.993988655	0.997953097	1.001090452	1.003942868	1.003969751	1.002627861	1.000539268	1.004632788	0.997888211	0.996032297	1.003410639	0.99961947	1.011953584	1.000380647	1.030001184	1.00197951	1.004315727	1.002045208	1.009166711
2004	0.999297554	0.997133931	0.997133931	1	1	0.991934867	0.995361232	0.988244251	1.000336253	0.995773472	0.997861204	0.997158493	0.994457101	0.999035745	1.0007284	0.996079913	0.993502326	1.002847742	0.997817663	1.003229331	0.997651378	0.998404248	0.998423939	0.998039384	0.999583305	0.995334116
2005	0.996470383	0.991921826	0.991921826	1	1	0.989663422	0.993352749	0.980091409	0.991864044	0.990321802	0.99322418	0.995484791	0.990189105	1.000697767	1.004759791	0.993371773	0.993363577	1.008883614	0.997052371	1.015123429	1.00643295	1.008514123	0.998668172	1.001854097	1.001961166	1.000703472
2006	0.994364052	0.992039639	0.992039639	1	1	0.984758198	0.984778963	0.981544688	0.994651167	0.988391854	0.989618416	0.993010583	0.990848706	0.999063107	0.999970815	0.995712138	0.996459495	1.000148927	0.997978271	1.009002954	0.999420853	1.004386505	0.994961117	1.00481435	1.000940477	1.001521679
2007	0.994749066	0.976521519	0.976521519	1	1	0.994570426	0.996015846	0.983061939	0.993404715	0.990706023	0.982335601	0.976594876	0.986133409	0.990851358	0.990514794	0.989931942	0.983600334	0.977099531	0.990682353	0.994794834	0.992110463	0.995642012	0.989803757	0.99616951	0.98977267	1.002926643
2008	0.993077907	0.976883685	0.976883685	1	1	0.98976004	0.991915651	0.980871138	0.992771789	0.988287322	0.979717321	0.975647026	0.976899336	0.993458113	0.991587088	0.995293612	0.996991996	0.99464678	0.997649278	0.996645392	0.998010984	0.998684482	0.981093373	0.993613559	0.99123197	0.993824037
2009	0.996486097	0.993451734	0.993451734	1	1	0.995683448	0.998636133	0.999170435	0.998199142	1.001762332	0.999857257	0.997637666	0.997606788	0.999198473	0.996170969	0.995021088	0.995790315	0.99885878	0.999005934	1.006388196	1.000499373	1.007544324	0.996886513	0.998999483	0.99427777	0.996610242
2010	1.012266479	1.03794871	1.03794871	1	1	1.025523483	1.004802494	1.042794771	1.013209228	1.028211264	1.035866395	1.034956941	1.023913282	1.012782124	1.006791857	1.006797993	1.020858128	1.033952554	1.0112764	1.011796288	1.010805042	1.005862708	1.021470636	1.008504707	1.006617997	1.002653548
2011	0.999463249	0.99151495	0.99151495	1	1	0.985658328	0.992703536	0.982921485	0.990211926	0.985325379	0.984825863	0.990575419	0.985094885	0.992144819	0.992690805	0.992547517	0.980030164	0.964551185	0.988972828	0.998368273	0.984823638	0.999151573	0.991503641	0.998842892	0.99386813	1.000537706
2012	1.001470187	1.000342947	1.000342947	1	1	1.006047229	1.004263602	1.003134777	1.003590171	1.002224569	1.001521891	1.000282736	1.00367087	1.001118112	0.996044566	0.999450838	1.004393166	0.997062683	0.999229249	1.010827811	1.000851356	1.015467462	1.003920207	1.002764871	0.997541727	1.006206643
2013	0.999747705	1.000606835	1.000606835	1	1	0.997718478	0.995578011	1.002330959	0.995831188	0.995660408	0.999430212	1.000731823	0.989072814	1.005042053	0.998846212	1.001870371	1.008702081	1.015976105	1.007159044	1.005402128	1.007793525	1.004374863	0.99582175	1.001895873	1.001353511	1.004323123
2014	0.990131583	0.970768259	0.970768259	1	1	0.978603261	0.98721877	0.968615627	0.991281726	0.985770185	0.976503254	0.969506675	0.982006143	0.985009338	0.982721071	0.986040599	0.9818976	0.956397359	0.98653848	0.992530668	0.98450366	0.982698935	0.991512241	0.992803288	0.985510517	0.986661031
2015	0.994160542	0.974650319	0.974650319	1	1	0.981428819	0.993512043	0.975148318	0.986254627	0.981020842	0.975258234	0.975021881	0.972066377	0.990999816	0.990139659	0.99100202	0.982083346	0.976298794	0.993068809	1.005562688	0.995364457	1.010158596	0.977138786	0.994298424	0.990891884	1.007129636
2016	1.001067406	0.998628045	0.998628045	1	1	1.017231396	1.016083454	1.0009567	1.001811359	1.001043037	0.995649788	0.996454935	1.001855245	0.994511861	1.001416138	1.006492035	1.013347072	0.988167416	1.002225882	1.010291515	1.003621929	0.994382279	1.010653396	1.001703467	1.006176997	1.026746181
