Klimaår	DK-West	DK-East	Bornholm	KriegersFlak	EnergyIsland	NOm	NOn	NOs	SE1	SE2	SE3	SE4	Finland	DELU	Austria	Holland	GB	France	Belgium	ESPT	Schweiz	Italy	EELVLT	Poland	CZSK	Hungary
1999	0.997621799	0.991613763	0.991613763	1	1	0.997648933	0.9970279	0.991575349	1.002124654	0.99882954	0.993276421	0.993978396	0.997912329	0.993536575	0.998886856	0.995326959	0.990823401	0.992302435	0.993392859	1.004142742	1.001854218	1.005544673	0.994275099	0.997716168	0.996905048	0.991770664
2000	0.996275959	0.972082489	0.972082489	1	1	0.990203647	0.996020624	0.971100536	0.990818755	0.982591544	0.977333191	0.97383978	0.98013222	0.988791602	0.989495559	0.993870849	0.994792714	0.977031538	0.992345451	0.996407266	0.989017073	0.992952814	0.978678967	0.987786609	0.990339901	0.996955776
2001	1.000171847	1.001824652	1.001824652	1	1	1.002233078	0.996954599	1.006332936	0.999757563	1.003587502	1.002282308	1.004469989	1.002871072	0.999559801	1.000029402	0.999382506	1.004537916	0.997445773	0.998938931	1.000764947	0.995850206	0.995583448	1.000373092	1.001581993	1.000142817	0.99392373
2002	0.998755139	0.991337038	0.991337038	1	1	0.994602286	0.997005593	0.999777787	1.001205009	1.000392064	0.99761882	0.99580421	1.004230687	0.991686096	0.994302563	0.995073029	0.988677887	0.969383501	0.992169228	0.986801229	0.990210492	0.98807563	1.001767295	1.001896233	0.995972367	0.99926537
2003	0.998569957	1.001728837	1.001728837	1	1	0.992274564	0.996327492	0.994163726	0.998086963	1.001019556	1.00385625	1.003969751	1.002791134	1.000936501	1.004858152	0.998140403	0.996076243	1.007385899	0.999451693	1.013680344	1.00053133	1.033678247	1.002210763	1.004708992	0.999531637	1.017163841
2004	0.999531936	0.99635472	0.99635472	1	1	0.992446755	0.996308663	0.988733628	1.000314263	0.996048259	0.99790819	0.997158493	0.994527143	0.998875324	1.000851292	0.996355814	0.993552516	1.003145894	0.998141078	1.003481249	0.997632362	0.998264593	0.998287667	0.997838263	0.999919314	0.992608712
2005	0.996882535	0.990598207	0.990598207	1	1	0.990223719	0.994074876	0.981002734	0.992396129	0.990951028	0.993373033	0.995484791	0.99004152	1.000879153	1.005179486	0.993301978	0.993429188	1.009896854	0.996920934	1.014461813	1.007001716	1.009803628	0.998700793	1.002009059	1.001870793	1.000823702
2006	0.994870135	0.990697857	0.990697857	1	1	0.986218326	0.986869002	0.98240135	0.995000976	0.989146554	0.989846481	0.993010583	0.990868775	0.998716197	1.00005873	0.99548618	0.996506126	1.002167707	0.997894674	1.010178606	0.999381534	1.005199971	0.994467996	1.00658639	1.000890654	1.0021302
2007	0.995540917	0.970181172	0.970181172	1	1	0.994707308	0.99667003	0.983793297	0.993836041	0.991310268	0.982723658	0.976594876	0.985909197	0.988787438	0.989928034	0.98946054	0.983737408	0.975550763	0.990071725	0.994190017	0.991523794	0.99506315	0.988403195	0.994997331	0.98995953	1.006265435
2008	0.993904203	0.970907161	0.970907161	1	1	0.990537696	0.992562771	0.981783788	0.993244508	0.989048818	0.980162897	0.975647026	0.976098617	0.992281477	0.9910302	0.99558089	0.997016456	0.993740058	0.997829782	0.996335127	0.997750495	0.998133967	0.97833714	0.992114578	0.991097889	0.991073756
2009	0.99683127	0.991991835	0.991991835	1	1	0.996027035	0.999068432	0.999217058	0.998316917	1.001647755	0.999860393	0.997637666	0.997725637	0.999170516	0.996014144	0.994815205	0.995823149	0.999555609	0.998567795	1.00735641	1.000552201	1.008288105	0.996544683	0.998720201	0.994979604	0.99533748
2010	1.010592798	1.047900422	1.047900422	1	1	1.024105546	1.001658696	1.040845821	1.012345355	1.026377117	1.035078471	1.034956941	1.025081589	1.015735066	1.007229087	1.006740803	1.020680604	1.03454676	1.011290422	1.011399314	1.011690367	1.006307691	1.024702032	1.009991004	1.006677376	1.004677499
2011	0.999712525	0.988904538	0.988904538	1	1	0.986684377	0.995364828	0.98370602	0.990852058	0.986279445	0.985159213	0.990575419	0.984852069	0.990453374	0.99239679	0.992304917	0.980202484	0.963893756	0.98854277	0.999041717	0.984005612	0.999180903	0.990500804	0.998456276	0.993233655	1.002011873
2012	1.001229174	1.000591017	1.000591017	1	1	1.005411918	1.002835065	1.002980713	1.003355377	1.002079939	1.001488458	1.000282736	1.004059693	1.001110354	0.995848063	0.999391588	1.00434413	0.997114418	0.999028235	1.011412409	1.00101924	1.017050356	1.004604682	1.002975677	0.996946683	1.01303714
2013	0.99972573	1.001028939	1.001028939	1	1	0.99795903	0.995739596	1.00225249	0.996103825	0.995942545	0.999442729	1.000731823	0.988778257	1.006109612	0.998750173	1.001911482	1.008643853	1.016501988	1.007324335	1.005199855	1.008255407	1.004633309	0.995527927	1.001980296	1.001481738	1.008008695
2014	0.991266398	0.96362037	0.96362037	1	1	0.980220888	0.989790626	0.970191267	0.991851894	0.986695333	0.977019438	0.969506675	0.981540337	0.981813029	0.981642893	0.985651035	0.982045086	0.955461345	0.985858298	0.99331956	0.983292999	0.97997167	0.9902498	0.991336388	0.985160166	0.97947449
2015	0.995049376	0.967799492	0.967799492	1	1	0.982266227	0.995394951	0.976315987	0.987153563	0.982254766	0.975801768	0.975021881	0.970953566	0.989061843	0.989368148	0.991178219	0.982251419	0.977213647	0.992945762	1.007519412	0.99487128	1.011341017	0.973931429	0.99268033	0.98984189	1.014106738
2016	1.000730549	0.998926466	0.998926466			1.016378301	1.016839259	1.000838294	1.001692898	1.000975224	0.995745354	0.996454935	1.00176987	0.994042064	1.001308872	1.006164385	1.013207452	0.989126584	1.00253646	1.010817477	1.003984288	0.994472367	1.01161093	1.001444767	1.00758919	1.026469212
