Information about parameters in run for file test.txt
Options: 
Simulation year: 2035
Climate year: 1985
TYNDP report: 2030
UsePlannedDownTime: True
UseUnplannedDownTime: True
demFlexKlassisk: 0.25
demFlexCVP: 0.95
demFlexPtX: 1
demFlexTransport: 0.2
Storebaelt2: False
oresundOpen: False
EnergyIslandEast: True
EnergyIslandWest: True
DK1
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Solar-PV	Solar_BE	12346.26165	1	0.0	0.0	0.0	0.0	PV_BE
Hard_Coal	KulUdland_BE	270.0	1	0.073972603	0.091666667	48.0	0.0	-
Gas	GasUdland_BE	8550.65	85	0.073972603	0.05	48.0	0.0	-
Oil	OlieUdland_BE	158.15	3	0.073972603	0.093333333	48.0	0.0	-
Hydro-pump	HydroPumpCL_BE	1395.0	27	0.05	0.2	48.0	0.0	-
Other_RES	MustRun_BE	289.6291725	1	0.0	0.0	0.0	0.0	-
Othernon-RES	OtherNonRes_BE_BE	1324.0	26	0.36977492	0.0	0.0	0.0	-
Biofuels	Biofuels_BE	270.393	5	0.073972603	0.091666667	48.0	0.0	-
DSR	DSR_BE	1800.0	180	0.05	0.25	48.0	0.0	-
Battery	Battery_BE	1290.5	129	0.05	0.2	48.0	0.0	-
ReservesBL	RS_BE	-429.818973	1	0.0	0.0	0.0	0.0	-
demandBE	demandBE	99.80770191969081	1	0	0	0	0	BEdemand


ESPT
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Hydro-Run	ROR_ESPT	4492.3455	1	0.0	0.0	0.0	0.0	HY_ESPT
Hydro-turbine	HydroRes_ESPT	14627.7095	292	0.11	0.05	48.0	0.0	HYlimit_ESPT
Wind-on-shore	Wind_ESPT	61843.25	1	0.0	0.0	0.0	0.0	WL_ESPT
Wind-off-shore	Wind_ESPT	494.0	1	0.0	0.0	0.0	0.0	WS_ESPT
Solar-PV	Solar_ESPT	59614.32052	1	0.0	0.0	0.0	0.0	PV_ESPT
Solar-thermal	Solar_ESPT	7771.0	1	0.0	0.0	0.0	0.0	CSP_ESPT
Other_RES	MustRun_ESPT	3135.85	1	0.0	0.0	0.0	0.0	OtherRes_ESPT
Othernon-RES	MustRun_ESPT	4638.5	1	0.0	0.0	0.0	0.0	OtherNonRes_ESPT
Nuclear	NuclearES_ESPT	1520.36	1	0.093	0.05	96.0	0.0	-
Gas	GasUdland_ESPT	27337.28	273	0.073972603	0.05	48.0	0.0	-
Hydro-pump	HydroPumpCL_ESPT	14030.5	280	0.05	0.2	48.0	0.0	-
DSR	DSR_ESPT	1600.0	160	0.05	0.25	48.0	0.0	-
Battery	Battery_ESPT	4640.5	464	0.05	0.2	48.0	0.0	-
Reserves_ESPT	RS_ESPT	-2296.0	1	0.0	0.0	0.0	0.0	-
demandESPT	demandESPT	358.62848124114	1	0	0	0	0	ESPTdemand


CH
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Hydro-Run	ROR_CH	4113.0	1	0.0	0.0	0.0	0.0	HY_CH
Wind-on-shore	Wind_CH	377.5	1	0.0	0.0	0.0	0.0	WL_CH
Solar-PV	Solar_CH	7000.0	1	0.0	0.0	0.0	0.0	PV_CH
Nuclear	NuclearCH_CH	1282.5	1	0.096	0.05	96.0	0.0	-
Hydro-turbine	HydroRes_CH	8152.0	163	0.11	0.05	48.0	0.0	-
Hydro-pump	HydroPumpCL_CH	3989.0	79	0.05	0.2	48.0	0.0	-
Other_RES	OtherRes_CH_CH	1197.0	23	0.535832415	0.0	0.0	0.0	-
Othernon-RES	OtherNonRes_CH_CH	889.4203371	17	0.535585042	0.0	0.0	0.0	-
Battery	Battery_CH	898.5	89	0.05	0.2	48.0	0.0	-
ReservesCH	RS_CH	-869.0	1	0.0	0.0	0.0	0.0	-
demandCH	demandCH	61.68565041858181	1	0	0	0	0	CHdemand


IT
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Hydro-Run	ROR_IT	5812.075312	1	0.0	0.0	0.0	0.0	HY_IT
Hydro-turbine	HydroRes_IT	9679.470826	193	0.11	0.05	48.0	0.0	HYlimit_IT
Wind-on-shore	Wind_IT	20270.0051	1	0.0	0.0	0.0	0.0	WL_IT
Wind-off-shore	Wind_IT	900.0	1	0.0	0.0	0.0	0.0	WS_IT
Solar-PV	Solar_IT	55644.77561	1	0.0	0.0	0.0	0.0	PV_IT
Solar-thermal	Solar_IT	880.0	1	0.0	0.0	0.0	0.0	PV_IT
Othernon-RES	MustRun_IT	7621.0	1	0.0	0.0	0.0	0.0	OtherNonRes_IT
Gas	GasUdland_IT	43145.33	431	0.073972603	0.05	48.0	0.0	-
Oil	OlieUdland_IT	433.0	8	0.073972603	0.093333333	48.0	0.0	-
Hydro-pump	HydroPumpCL_IT	11917.5	238	0.05	0.2	48.0	0.0	-
Other_RES	OtherRes_IT_IT	4822.656016	96	0.352266667	0.0	0.0	0.0	-
DSR	DSR_IT	2310.0	231	0.05	0.25	48.0	0.0	-
Battery	Battery_IT	2298.5	229	0.05	0.2	48.0	0.0	-
ReservesIT	RS_IT	-4500.0	1	0.0	0.0	0.0	0.0	-
demandIT	demandIT	360.9986543429398	1	0	0	0	0	ITdemand


EELVLT
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Hydro-Run	ROR_EELVLT	1717.4	1	0.0	0.0	0.0	0.0	HY_EELVLT
Wind-on-shore	Wind_EELVLT	3365.0	1	0.0	0.0	0.0	0.0	WL_EELVLT
Wind-off-shore	Wind_EELVLT	1467.856436	1	0.0	0.0	0.0	0.0	WS_EELVLT
Solar-PV	Solar_EELVLT	2199.5	1	0.0	0.0	0.0	0.0	PV_EELVLT
Solar-thermal	Solar_EELVLT	40.0	1	0.0	0.0	0.0	0.0	CSP_EELVLT
Other_RES	MustRun_EELVLT	444.902859	1	0.0	0.0	0.0	0.0	OtherRes_EELVLT
Gas	GasUdland_EELVLT	966.0	9	0.073972603	0.05	48.0	0.0	-
Oil	OlieUdland_EELVLT	693.4	13	0.073972603	0.093333333	48.0	0.0	-
Hydro-pump	HydroPumpCL_EELVLT	1062.5	21	0.05	0.2	48.0	0.0	-
Othernon-RES	OtherNonRes_EELVLT_EELVLT	287.0	5	0.213793103	0.0	0.0	0.0	-
Biofuels	Biofuels_EELVLT	116.6	2	0.073972603	0.091666667	48.0	0.0	-
DSR	DSR_EELVLT	288.0	28	0.05	0.25	48.0	0.0	-
Battery	Battery_EELVLT	458.5	45	0.05	0.2	48.0	0.0	-
ReservesEELVLT	RS_EELVLT	-975.0	1	0.0	0.0	0.0	0.0	-
demandEELVLT	demandEELVLT	33.5877997509424	1	0	0	0	0	EELVLTdemand


PL
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Hydro-Run	ROR_PL	521.252515	1	0.0	0.0	0.0	0.0	HY_PL
Wind-on-shore	Wind_PL	8809.5	1	0.0	0.0	0.0	0.0	WL_PL
Wind-off-shore	Wind_PL	6960.0	1	0.0	0.0	0.0	0.0	WS_PL
Solar-PV	Solar_PL	13713.0	1	0.0	0.0	0.0	0.0	PV_PL
Other_RES	MustRun_PL	2253.8715	1	0.0	0.0	0.0	0.0	OtherRes_PL
Othernon-RES	MustRun_PL	7087.437924	1	0.0	0.0	0.0	0.0	OtherNonRes_PL
Nuclear	Nuclear_PL	2800.0	2	0.15	0.05	96.0	0.0	-
Lignite	KulUdland_PL	4279.5	10	0.073972603	0.091666667	48.0	0.0	-
Hard_Coal	KulUdland_PL	9134.722391	22	0.073972603	0.091666667	48.0	0.0	-
Gas	GasUdland_PL	7501.0	75	0.073972603	0.05	48.0	0.0	-
Hydro-turbine	HydroRes_PL	183.3072	3	0.11	0.05	48.0	0.0	-
Hydro-pump	HydroPumpCL_PL	1501.5	30	0.05	0.2	48.0	0.0	-
Biofuels	Biofuels_PL	301.7225	6	0.073972603	0.091666667	48.0	0.0	-
Battery	Battery_PL	1000.0	100	0.05	0.2	48.0	0.0	-
ReservesPL	RS_PL	-1000.0	1	0.0	0.0	0.0	0.0	-
demandPL	demandPL	195.68604614749498	1	0	0	0	0	PLdemand


CZSK
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Hydro-Run	ROR_CZSK	1972.264455	1	0.0	0.0	0.0	0.0	HY_CZSK
Hydro-turbine	HydroRes_CZSK	700.085	14	0.11	0.05	48.0	0.0	HYlimit_CZSK
Wind-on-shore	Wind_CZSK	1477.624747	1	0.0	0.0	0.0	0.0	WL_CZSK
Solar-PV	Solar_CZSK	5578.754394	1	0.0	0.0	0.0	0.0	PV_CZSK
Other_RES	MustRun_CZSK	1278.459532	1	0.0	0.0	0.0	0.0	OtherRes_CZSK
Othernon-RES	MustRun_CZSK	1531.413123	1	0.0	0.0	0.0	0.0	OtherNonRes_CZSK
Nuclear	NuclearCZSK_CZSK	6780.12	11	0.146	0.05	96.0	0.0	-
Lignite	KulUdland_CZSK	3703.840984	9	0.073972603	0.091666667	48.0	0.0	-
Hard_Coal	KulUdland_CZSK	684.8357844	1	0.073972603	0.091666667	48.0	0.0	-
Gas	GasUdland_CZSK	1998.970557	19	0.073972603	0.05	48.0	0.0	-
Oil	OlieUdland_CZSK	69.915	1	0.073972603	0.093333333	48.0	0.0	-
Hydro-pump	HydroPumpCL_CZSK	2082.0	41	0.05	0.2	48.0	0.0	-
Biofuels	Biofuels_CZSK	75.40267422	1	0.073972603	0.091666667	48.0	0.0	-
Battery	Battery_CZSK	1157.166672	115	0.05	0.2	48.0	0.0	-
ReservesCZSK	RS_CZSK	-1842.5	1	0.0	0.0	0.0	0.0	-
demandCZSK	demandCZSK	120.38115403065571	1	0	0	0	0	CZSKdemand


HU
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Hydro-Run	ROR_HU	56.0	1	0.0	0.0	0.0	0.0	HY_HU
Wind-on-shore	Wind_HU	162.9	1	0.0	0.0	0.0	0.0	WL_HU
Solar-PV	Solar_HU	6727.0246	1	0.0	0.0	0.0	0.0	PV_HU
Other_RES	MustRun_HU	574.55	1	0.0	0.0	0.0	0.0	OtherRes_HU
Othernon-RES	MustRun_HU	286.506	1	0.0	0.0	0.0	0.0	OtherNonRes_HU
Nuclear	NuclearHU_HU	3310.0	6	0.081	0.05	96.0	0.0	-
Gas	GasUdland_HU	1273.0	12	0.073972603	0.05	48.0	0.0	-
Biofuels	Biofuels_HU	53.05	1	0.073972603	0.091666667	48.0	0.0	-
Battery	Battery_HU	630.5	63	0.05	0.2	48.0	0.0	-
ReservesHU	RS_HU	-1550.0	1	0.0	0.0	0.0	0.0	-
demandHU	demandHU	46.202049294688486	1	0	0	0	0	HUdemand


Lines: 
Name	CapAB	capBA	noUnits	Downtime	DowntimeDuration
DK1_to_DK2	590.0	600.0	1	0.1	96
DK1_to_NOs	1632.0	1632.0	4	0.1	96
DK1_to_SE3	715.0	715.0	2	0.1	96
DK1_to_DELU	2500.0	2500.0	4	0.08	48
DK1_to_DELU_1	1000.0	1000.0	1	0.08	48
DK1_to_NL	700.0	700.0	1	0.1	96
DK1_to_GB	1400.0	1400.0	1	0.1	96
DK2_to_SE4	0	0	2	0.08	48
DK2_to_SE4_1	0	0	2	0.08	48
DK2_to_SE4_2	461.5384615384615	400	1	0.08	48
DK2_to_SE4_3	462.0	400.0	1	0.08	48
DKBO_to_SE4	70.0	70.0	1	0.08	48
DK2_to_DELU	600.0	585.0	1	0.1	96
DK2_to_DKKF	600.0	600.0	1	0.1	96
DKKF_to_DELU	400.0	400.0	1	0.1	96
DKEI_to_DK1	1400	1400	2	0.1	96
DKEI_to_BE	2000	2000	2	0.1	96
DKBO_to_DK2	1200	1200	2	0.1	96
DKBO_to_DELU	2000	2000	2	0.1	96
NOm_to_NOn	1200.0	1200.0	3	0.04	48
NOm_to_NOs	1375.0	1375.0	3	0.04	48
SE1_to_SE2	3300.0	3300.0	3	0.04	48
SE2_to_SE3	8100.0	8100.0	8	0.04	48
SE3_to_SE4	5400.0	2000.0	5	0.04	48
SE3_to_SE4_1	800.0	800.0	2	0.1	96
NOm_to_SE2	600.0	1000.0	6	0.04	48
NOn_to_SE1	700.0	473.0	6	0.04	48
NOn_to_SE2	158.0	263.0	6	0.04	48
NOs_to_SE3	2145.0	2095.0	6	0.04	48
NOn_to_FI	100.0	100.0	1	0.04	48
NOs_to_DELU	1400.0	1400.0	1	0.1	96
NOs_to_NL	700.0	700.0	1	0.1	96
NOs_to_GB	2800.0	2800.0	2	0.1	96
SE1_to_FI	2000.0	2000.0	3	0.04	48
SE3_to_FI	1200.0	1200.0	2	0.1	96
SE4_to_DELU	1315.0	1315.0	1	0.1	96
SE4_to_EELVLT	700.0	700.0	1	0.1	96
SE4_to_PL	600.0	600.0	1	0.1	96
FI_to_EELVLT	1016.0	1016.0	2	0.1	96
DELU_to_NL	5000.0	5000.0	5	0.04	48
DELU_to_AT	7500.0	7500.0	8	0.04	48
DELU_to_PL	2000.0	3000.0	3	0.04	48
DELU_to_GB	1400.0	1400.0	2	0.1	96
DELU_to_FR	5180.0	5180.0	5	0.04	48
DELU_to_CH	3300.0	4600.0	5	0.04	48
DELU_to_BE	380.0	380.0	1	0.04	48
DELU_to_BE_1	1000.0	1000.0	1	0.1	96
DELU_to_CZSK	2000.0	2600.0	3	0.04	48
CZSK_to_PL	1990.0	1790.0	2	0.04	48
AT_to_CZSK	900.0	900.0	1	0.04	48
AT_to_HU	800.0	800.0	1	0.04	48
AT_to_IT	1355.0	1150.0	6	0.04	48
NL_to_GB	1000.0	1000.0	1	0.1	96
NL_to_BE	3400.0	3400.0	3	0.04	48
BE_to_FR	2800.0	4300.0	4	0.04	48
BE_to_GB	1000.0	1000.0	1	0.1	96
GB_to_FR	5400.0	5400.0	6	0.1	96
FR_to_ESPT	5000.0	5000.0	5	0.04	48
FR_to_CH	3200.0	1300.0	3	0.04	48
FR_to_IT	4350.0	2160.0	4	0.04	48
AT_to_CH	1700.0	1700.0	2	0.04	48
CH_to_IT	3850.0	1800.0	4	0.04	48
CH_to_IT_1	1000.0	1000.0	1	0.1	96
EELVLT_to_PL	700.0	700.0	1	0.1	96
CZSK_to_HU	2600.0	1800.0	3	0.04	48
