Information about parameters in run for file test.txt
Options: 
Simulation year: 2035
Climate year: 1985
TYNDP report: 2030
UsePlannedDownTime: True
UseUnplannedDownTime: True
demFlexKlassisk: 0.25
demFlexCVP: 0.95
demFlexPtX: 1
demFlexTransport: 0.2
Storebaelt2: False
oresundOpen: False
EnergyIslandEast: True
EnergyIslandWest: True
DK1
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Landvind_DKoe	Wind_DK2	898.605	1	0.0	0.0	0.0	0.0	WL_DK2
Solceller_DKoe	Solar_DK2	3766.0	1	0.0	0.0	0.0	0.0	PV_DK2
flatDemand_DK2	flatDemandDK2	-158.96727455936073	1	0	0	0	0	-
Amagervaerket_Blok_4	CKV_BP_DK2	150.0	1	0.073972603	0.091666667	48.0	0.7	-
Asnaesvaerket_Blok_6	CKV_BP_DK2	25.0	1	0.073972603	0.091666667	48.0	0.7	-
Avedoerevaerket_Blok_2	CKV_EX_DK2	560.0	1	0.073972603	0.091666667	48.0	0.0	-
Kyndbyvaerket_Blok_21	CKV_EX_DK2	2.0	1	0.073972603	0.091666667	48.0	0.0	-
Kyndbyvaerket_Blok_22	KYV22_DK2	260.0	1	0.073972603	0.093333333	48.0	0.0	-
Kyndbyvaerket_Blok_41	CKV_GT_DK2	18.0	1	0.073972603	0.093333333	48.0	0.0	-
Kyndbyvaerket_Blok_51	CKV_GT_DK2	63.0	1	0.073972603	0.093333333	48.0	0.0	-
Kyndbyvaerket_Blok_52	CKV_GT_DK2	63.0	1	0.073972603	0.093333333	48.0	0.0	-
Masnedoevaerket_Blok_31	CKV_GT_DK2	70.0	1	0.073972603	0.093333333	48.0	0.0	-
Helsingoer_KV_	DKV_CC_DK2	55.0	1	0.073972603	0.05	48.0	0.7	-
DTU_KV_	DKV_CC_DK2	38.5	1	0.073972603	0.05	48.0	0.7	-
Nordforbraending_KV_	CKV_affald_DK2	5.6	1	0.057692308	0.05	48.0	0.0	-
ARC_KV_AmagerBakke_	CKV_affald_DK2	43.4	1	0.057692308	0.05	48.0	0.0	-
KARA-Forbraending_KV_Anlaeg5_	CKV_affald_DK2	9.59	1	0.057692308	0.05	48.0	0.0	-
KARA-Forbraending_KV_Anlaeg6_	CKV_affald_DK2	13.58	1	0.057692308	0.05	48.0	0.0	-
Vestforbraending_KV_Anlaeg5_	CKV_affald_DK2	11.9	1	0.057692308	0.05	48.0	0.0	-
Vestforbraending_KV_Anlaeg6_	CKV_affald_DK2	15.4	1	0.057692308	0.05	48.0	0.0	-
I/S_Norfors_	CKV_affald_DK2	5.18	1	0.057692308	0.05	48.0	0.0	-
Hilleroed_KV_ORC_	DKV_bio_DK2	5.12	1	0.073972603	0.091666667	48.0	0.7	-
Koge_KV_Blok8_	DKV_bio_DK2	15.0	1	0.073972603	0.091666667	48.0	0.7	-
MasnedoeKV_	DKV_bio_DK2	9.98	1	0.073972603	0.091666667	48.0	0.7	-
MariboSakskoebing_KV_	DKV_bio_DK2	11.5	1	0.073972603	0.091666667	48.0	0.7	-
Flisforgasser_Gasmotor_Hilleroed_	DKV_GM_DK2	3.94	1	0.073972603	0.05	48.0	0.7	-
Noedstroemsanlaeg_DK-East_	DKV_GM_DK2	3.6	1	0.073972603	0.05	48.0	0.7	-
Motorer_-_restomraader_-_DK2_	DKV_GM_DK2	114.7627778	22	0.073972603	0.05	48.0	0.7	-
Slagelse-Forbraending_KV_	DKV_affald_DK2	7.63	1	0.057692308	0.05	48.0	0.7	-
NykoebingFalster-Forbraending_KV_	DKV_affald_DK2	4.69	1	0.057692308	0.05	48.0	0.7	-
Naestved-Forbraending_KV_	DKV_affald_DK2	9.023	1	0.057692308	0.05	48.0	0.7	-
oevrig_decentral_regulerkraft-oest_	Regulerkraft_DK2	36.0	7	0.073972603	0.05	48.0	0.0	-
ReservesDK-East	RS_DK2	-110.0	1	0.0	0.0	0.0	0.0	-
demandDK2	demandDK2	16.044836172621864	1	0	0	0	0	DK2demand


DKBO
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
VindBornholm	Wind_DKBO	37.0	1	0.0	0.0	0.0	0.0	WL_DK2
EnergioeEast	Wind_DKBO	3000.0	1	0.0	0.0	0.0	0.0	WS_DKKF
PVBornholm	Solar_DKBO	37.66	1	0.0	0.0	0.0	0.0	PV_DK2
oestkraft_Blok_6	CKV_EX_DKBO	37.0	1	0.073972603	0.091666667	48.0	0.0	-
oestkraft_Dieselvaerk	CKV_DI_DKBO	19.6	4	0.073972603	0.093333333	48.0	0.0	-
oestkraft_Blok_7	CKV_DI_DKBO	15.0	3	0.073972603	0.093333333	48.0	0.0	-
oestkraft_Blok_5	KYV22_DKBO	27.5	1	0.073972603	0.093333333	48.0	0.0	-
demandDKBO	demandDKBO	0.24312849361	1	0	0	0	0	DKBOdemand


DKKF
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
HavvindKF	Wind_DKKF	600.0	1	0.0	0.0	0.0	0.0	WS_DKKF
demandDKKF	demandDKKF	0.0	1	0	0	0	0	DKKFdemand


DKEI
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
EnergioeVest	Wind_DKEI	3000.0	1	0.0	0.0	0.0	0.0	WS_DK1
demandDKEI	demandDKEI	0.0	1	0	0	0	0	DKEIdemand


NOn
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Wind-on-shore	Wind_NOn	2283.295	1	0.0	0.0	0.0	0.0	WL_NOn
Hydro-turbine	HydroRes_NOn	3020.2	60	0.11	0.05	48.0	0.0	-
Hydro-pump	HydroRes_NOn	2950.0	59	0.11	0.05	48.0	0.0	-
Other_RES	OtherRes_NOn_NOn	40.0015	1	0.25	0.0	0.0	0.0	-
Othernon-RES	OtherNonRes_NO_NOn	195.0	3	0.0	0.0	0.0	0.0	-
DSR	DSR_NOn	1296.0	129	0.05	0.25	48.0	0.0	-
ReservesNOn	RS_NOn	-150.0	1	0.0	0.0	0.0	0.0	-
demandNOn	demandNOn	21.094178843421624	1	0	0	0	0	NOndemand


NOm
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Wind-on-shore	Wind_NOm	1947.1125	1	0.0	0.0	0.0	0.0	WL_NOm
Hydro-turbine	HydroRes_NOm	2715.7	54	0.11	0.05	48.0	0.0	-
Hydro-pump	HydroRes_NOm	2690.5	53	0.11	0.05	48.0	0.0	-
Othernon-RES	OtherNonRes_NO_NOm	20.0	1	0.0	0.0	0.0	0.0	-
DSR	DSR_NOm	1424.0	142	0.05	0.25	48.0	0.0	-
ReservesNOm	RS_NOm	-150.0	1	0.0	0.0	0.0	0.0	-
demandNOm	demandNOm	30.127992826837428	1	0	0	0	0	NOmdemand


NOs
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Wind-on-shore	Wind_NOs	3707.73	1	0.0	0.0	0.0	0.0	WL_NOs
Solar-PV	Solar_NOs	1250.0	1	0.0	0.0	0.0	0.0	PV_NOs
Hydro-turbine	HydroRes_NOs	12750.2	255	0.11	0.05	48.0	0.0	-
Hydro-pump	HydroRes_NOs	12390.0	247	0.11	0.05	48.0	0.0	-
Other_RES	OtherRes_NO_NOs	36.15	1	0.0	0.0	0.0	0.0	-
Othernon-RES	OtherNonRes_NO_NOs	50.0	1	0.0	0.0	0.0	0.0	-
DSR	DSR_NOs	1792.0	179	0.05	0.25	48.0	0.0	-
Reserves_Nos	RS_NOs	-600.0	1	0.0	0.0	0.0	0.0	-
demandNOs	demandNOs	116.20379522406658	1	0	0	0	0	NOsdemand


SE1
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Wind-on-shore	Wind_SE1	4833.294	1	0.0	0.0	0.0	0.0	WL_SE1
Solar-PV	Solar_SE1	15.624295	1	0.0	0.0	0.0	0.0	PV_SE1
Other_RES	MustRun_SE1	281.45	1	0.0	0.0	0.0	0.0	OtherRes_SE1
Hydro-turbine	HydroRes_SE1	5379.5	107	0.11	0.05	48.0	0.0	-
DSR	DSR_SE1	107.1	10	0.05	0.25	48.0	0.0	-
Battery	Battery_SE1	170.0	17	0.05	0.2	48.0	0.0	-
ReservesSE1	RS_SE1	-410.0	1	0.0	0.0	0.0	0.0	-
demandSE1	demandSE1	12.252827600418929	1	0	0	0	0	SE1demand


SE2
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Wind-on-shore	Wind_SE2	7193.535	1	0.0	0.0	0.0	0.0	WL_SE2
Solar-PV	Solar_SE2	262.1909	1	0.0	0.0	0.0	0.0	PV_SE2
Other_RES	MustRun_SE2	649.3	1	0.0	0.0	0.0	0.0	OtherRes_SE2
Gas	GasUdland_SE2	53.374	1	0.073972603	0.05	48.0	0.0	-
Hydro-turbine	HydroRes_SE2	8065.05	161	0.11	0.05	48.0	0.0	-
DSR	DSR_SE2	161.7	16	0.05	0.25	48.0	0.0	-
Battery	Battery_SE2	295.5	29	0.05	0.2	48.0	0.0	-
ReservesSE2	RS_SE2	-1040.0	1	0.0	0.0	0.0	0.0	-
demandSE2	demandSE2	21.623456788864715	1	0	0	0	0	SE2demand


SE3
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
Wind-on-shore	Wind_SE3	4728.7015	1	0.0	0.0	0.0	0.0	WL_SE3
Wind-off-shore	Wind_SE3	1330.505	1	0.0	0.0	0.0	0.0	WS_SE3
Solar-PV	Solar_SE3	3941.5545	1	0.0	0.0	0.0	0.0	PV_SE3
Other_RES	MustRun_SE3	2558.5	1	0.0	0.0	0.0	0.0	OtherRes_SE3
Nuclear	NuclearSweden_SE3	3417.5	3	0.16	0.05	96.0	0.0	-
Gas	GasUdland_SE3	190.5205	1	0.073972603	0.05	48.0	0.0	-
Hydro-turbine	HydroRes_SE3	2747.0	54	0.11	0.05	48.0	0.0	-
DSR	DSR_SE3	468.3	46	0.05	0.25	48.0	0.0	-
Battery	Battery_SE3	1406.0	140	0.05	0.2	48.0	0.0	-
Reserves_SE3	RS_SE3	-130.0	1	0.0	0.0	0.0	0.0	-
demandSE3	demandSE3	98.21923114812556	1	0	0	0	0	SE3demand


SE4
Name	Type	Capacity	NoUnits	PlannedOutage	UnplannedOutage	OutageTime	HeatDep	Variation
